Timestamp,Your age,How many months or years have you attended the church?,Your gender,In Your Opinion... [I feel like I am a part of the congregation.],In Your Opinion... [I feel connected to others as I worship here.],In Your Opinion... [People help each other and pray for one another.],In Your Opinion... [There is a strong sense of unity within our church.],In Your Opinion... [Our church ministers to the needs of people in our community.],In Your Opinion... [I am/or have grown spiritually as a result of attending here.],In Your Opinion... [The preaching of God’s word in our church is clear.],In Your Opinion... [Our worship services inspire genuine heartfelt praise.],2.	What aspect of this church do you like that you haven’t been able to find or have experienced at another church? ,"3.	If you have visited other churches, what did you like there that our church does not offer? ",4.	What is the most important reason you attend this church?,5.	In what areas do you believe the church could use the most improvement? (Choose only three),"6.	Concerning an incoming pastor, what ministry experience do you believe is most important? (Choose only two)",7.	Where do you envision our church in five years?,8.	Would you recommend this church to a friend? Why or why not?,9.	What else would you like the search committee to consider? 
2020/10/22 5:23:35 PM EST,68,30 years,Female,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Small groups,More familiar worship songs.    Testimonies.,fellowship community;location;because of family/friends,building community;visitation;preaching,small groups;discipleship;Other,"Deeper spirituality,   More families.    Deeper commitments","Yes, we are kind, loving and supportive ",Deep biblical sermons that teach and challenge
2020/10/22 10:03:55 PM EST,25,10 months,male,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,It’s a smaller group of people,Haven’t visited other churches,because of family/friends,reaching younger generation,small groups;young families,I’m not sure,"Yes, I think my friend would also like the smaller group of people",N/A
2020/10/22 10:54:02 PM EST,25,11 months,Female,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"I really love how caring the staff has been. I have never really felt invested in by a pastor the way I have with Dwight and Mindy (and Bill too!). They are so genuine and I never feel like they are just putting on a face. I love that the Bible is preached and that people in leadership are living lives that reflect Jesus. I also love the upbeat, current music! ","It is hard to compare other churches because most of the ones I have been to have been larger - but most of the things are just surface/flashy things like stage lighting, decor, and stuff like that. The core of this church is just awesome so I really can't see anything that needs to be added! The people make Huber shine and stand out from the rest. ",fellowship community;love of preaching;love of music;because of family/friends,impression and attendance;reaching younger generation;building community,young families;discipleship,"I would love to have a thriving children's, youth and young adult's ministry (what we have now is great but I would love to see it grow and be able to reach more kids!) - small groups for people to get plugged in, and would really emphasize growth and accountability! People pouring into others and discipleship - sermons continuing to be based solely on the word and how we can apply it to our lives - continue to have great current music - maybe even an updated sanctuary to be more attractive to younger generations (but that is just extra) and if I may be so bold, I would love for Dwight to be the lead pastor! ","Yes I would! I think there is a great community, great leaders, awesome worship and the teaching is always straight from the word. ","I think you guys have been doing such a great job and I am excited to see who you find to be our pastor! This church is such a wonderful place and I feel a lot of it is the people who are a part of it. But definitely consider Dwight! He is such a great leader and so genuine. I think he would do such a great job! He is a living example of who we are called to be - he isn't perfect yet he is striving to live a godly life. God is using him to show us He doesn't want perfect, He just wants us to be who He created and called us to be. I think that Christians feel they have to appear perfect all the time, so having a lead pastor that shows its okay not to be perfection is so refreshing!  I would take a personable loving pastor over a well spoken preacher any day! 

Thank you all for all of the time you are devoting to this search! I have been and will be praying for you as you search for the best candidates! I know you will pick/find someone perfect for us. Have a great day!"
2020/10/23 10:22:55 AM EST,80,4-5 years,male,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Nothing different than at other churches i have been a part of.,The songs.  I prefer some of the older songs be sung from time to time.,because of family/friends,reaching younger generation;outreach and evangelism;visitation,missions and outreach;church growth,This depends on the Pastor that is chosen.  I really like they way Pastor Dwight delivers the message.,Depends on the pastor that is chosen.,I would put Pastor Dwight in first place. He knows the church.  Get an assistant pastor to help him that can minister to the young people also.
2020/10/23 11:51:43 AM EST,25,10 months,male,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,It’s a smaller group of people,Haven’t visited other churches,because of family/friends,reaching younger generation,small groups;young families,I’m not sure,"Yes, I think my friend would also like the smaller group of people",N/A
2020/10/23 6:43:05 PM EST,46,5,male,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,N/A,N/A,Other,reaching younger generation,young families;church growth,About the same.,Yes.,N/A
2020/10/25 6:06:59 PM EST,65,12 years,Female,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,The closeness of the congregation,More groups classes and church programs,fellowship community,impression and attendance;reaching younger generation;building community,small groups;church growth,large congregation and more active members within the church,"Yes, because of the love within the congregation",I would love to see Pastor Dwight become the next pastor.
2020/10/25 6:23:14 PM EST,49,5,Female,Strongly Agree,Agree,Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I feel like the same people are always in charge they don't give opportunities to others to help or bring new fresh ideas when is about to take decisions is always the same people is why I feel a lot of people have gone to other church where they can participate more.,For example visit the people in need no just the pastor going to the hospital also other groups pray in the homes.,fellowship community;location;love of preaching,impression and attendance;building community;outreach and evangelism,small groups;church growth,"Would like to see a bigger congregation ,  I feel like everyone is looking for new church and don't understand why.",I am not sure if I would recommend this church.,"I would like Pastor Dwight will be our Pastor, he is knows better than nobody else the church and the people I think the committee should look for a youth pastor not for a Senior Pastor, I think he is the best for our church.  Why to bring a stranger to our church when we already have the best of the best , he is the one."
2020/10/27 2:44:50 PM EST,59,42,Female,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Agree,relationships with people I have know a long time,sense of one purpose,location;because of family/friends;raised in this church/long history,reaching younger generation;building community;preaching;communication,discipleship;Other,If the new pastor can bring unity I think we will a booming church,Not currently,"It is important to understand what everyone ""needs"".  It is also good to remember that we cannot be all things to all people.  Keep before you what God wants for this church.  Perhaps that isn't the same as what the current congregation wants."
2020/10/28 2:01:09 PM EST,57,50 years,Female,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,"Being here most of my life, I have limited exposure to other churches. That said I appreciate the generosity of people. They are generous with their kindness, prayer support, finances, time and talents. 

This church has always had a priority of preaching God’s word. We strive to stay in line with God’s teaching and His will. This body of believers has a strong foundation. We don’t get caught up in compromising the Word to try and “fit in”  so as to attract people to us. We try to focus on God so that they will be attracted to Him. ","Some hospitality features such as a manned hospitality station for information gathering and dissemination. 

We know we need to and we want to grow our Life Group ministry. We just need a champion and momentum in this direction. 

We know we need to and we want to grow our Outreach/Mission ministry. We just need a champion and momentum in this direction.",fellowship community,reaching younger generation;outreach and evangelism;visitation,discipleship,"A strong presence, identity in the community. Known for a place to belong, a place to come to with one’s needs. Growing thru evangelism. Discipling new converts. Training up leaders. Running outreach/missions full tilt without limitations of resources. ",Yes. I think it is a solid church in terms of preaching the word and ministering to others. The people here will love and support new comers.,Seek and know the will of God for whom He is calling to us. This first and foremost. God knows us best and knows what is best for us better than we can ever surmise.
